"value","age","MP","X90s","Goals","Shots","SoT","SoT.","G.Sh","G.SoT","ShoDist","ShoFK","ShoPK","PasTotCmp.","PasTotPrgDist","PasShoCmp","PasShoCmp.","PasMedAtt","PasMedCmp.","PasLonCmp","PasLonAtt","PasLonCmp.","Assists","PasAss","Pas3rd","PPA","CrsPA","PasProg","PasDead","PasFK","TB","Sw","PasCrs","TI","CK","CkIn","CkStr","PasOff","PasBlocks","SCA","ScaPassLive","ScaPassDead","ScaDrib","ScaSh","ScaFld","ScaDef","GCA","GcaPassLive","GcaPassDead","GcaDrib","GcaSh","GcaFld","GcaDef","Tkl","TklWon","TklDef3rd","TklMid3rd","TklAtt3rd","TklDri","TklDriAtt","TklDri.","TklDriPast","Blocks","BlkSh","Int","Clr","Err","Touches","TouDefPen","TouDef3rd","TouMid3rd","TouAtt3rd","TouAttPen","ToAtt","ToSuc","ToSuc.","ToTkl","ToTkl.","Carries","CarTotDist","CarProg","Car3rd","CPA","CarMis","CarDis","Rec","RecProg","CrdY","CrdR","X2CrdY","Fls","Fld","Off","PKwon","PKcon","OG","Recov","AerWon","AerLost","AerWon.","G.MP"
15,20,18,11.3,1,1.5,0.53,35.3,0.06,0.17,14.1,0.09,0,84.7,194.5,21.9,92.5,21.3,85.9,4.78,7.7,62.1,0.09,1.5,3.63,0.97,0.09,5.58,4.51,2.12,0.35,0.71,2.48,0.44,1.95,0.71,0,0.09,0.53,3.19,1.86,0.88,0,0.35,0.09,0,0.27,0.09,0.09,0,0,0.09,0,3.19,1.68,1.24,1.33,0.62,0.97,2.04,47.8,1.06,1.5,0.27,1.06,1.15,0,67.8,2.65,13,38.1,17.5,2.57,1.77,1.06,60,0.35,20,48.8,241.5,0.97,1.33,0.35,1.15,1.95,45.2,3.89,0.09,0,0,1.15,1.33,0.27,0.09,0,0,7.17,0.35,0.71,33.3,0.0884955752212389
15,24,6,2.2,0,0,0,0,0,0,0,0,0,94.3,245,26.8,95.2,28.6,95.2,5,5.45,91.7,0,0.45,7.73,0.45,0,5.45,2.27,2.27,0.45,0.45,0,0,0,0,0,0,0.45,1.82,1.36,0,0,0,0.45,0,0,0,0,0,0,0,0,0.45,0.45,0,0,0.45,0,0.91,0,0.91,0.45,0,2.27,0.91,0,70,2.73,14.5,43.2,13.2,0,0.91,0.45,50,0,0,43.6,178.6,0,2.73,0,0.45,0.45,51.4,0.91,0,0,0,0.45,2.27,0,0,0,0,6.36,1.36,0.91,60,0
28,27,21,20.8,1,0.91,0.24,26.3,0.05,0.2,22.5,0,0,78.9,164.4,15.9,86.9,17.1,82,3.8,5.77,65.8,0.24,1.59,3.7,1.15,0.34,4.86,1.2,0.1,0.43,0.48,2.21,0.67,0.24,0.19,0,0.29,1.01,2.5,2.07,0.14,0.1,0.05,0.1,0.05,0.24,0.19,0,0,0,0.05,0,1.97,1.01,1.11,0.77,0.1,0.82,1.39,58.6,0.58,1.06,0.05,0.63,0.96,0,53.1,1.59,10.3,26.5,17.2,1.54,1.92,0.87,45,0.96,50,31.8,167.7,1.83,1.44,0.19,1.83,1.39,36.7,3.89,0.1,0,0,0.48,0.29,0.19,0.05,0,0,6.3,0.19,0.63,23.5,0.0480769230769231
65,24,18,17.2,5,2.03,0.76,37.1,0.06,0.15,24.7,0.35,0.17,88.4,202.4,25.1,91.3,22.8,94.1,3.37,4.65,72.5,0,1.05,4.88,0.7,0.06,4.59,1.57,0.99,0.17,0.35,0.87,0.17,0.41,0.29,0,0.06,1.34,2.5,1.8,0.35,0.12,0.12,0.06,0.06,0.23,0.23,0,0,0,0,0,2.79,1.63,0.81,1.69,0.29,1.4,2.79,50,1.4,0.81,0.06,1.16,0.29,0.06,67.9,1.86,14,37.9,16.5,0.93,1.4,0.87,62.5,0.29,20.8,39,163.9,1.22,1.4,0.06,0.93,1.1,47.8,1.34,0.35,0,0,1.1,1.4,0,0,0,0.06,7.97,0.7,0.29,70.6,0.290697674418605
50,22,19,16.5,1,1.21,0.18,15,0.05,0.33,15.9,0,0,84.3,115.9,16.7,88.5,14.1,87.6,2.36,3.52,67.2,0.06,0.61,3.27,0.42,0,2.73,0.3,0.18,0.18,0.36,0.18,0.06,0,0,0,0.12,0.18,1.33,0.97,0,0.06,0.06,0.18,0.06,0.06,0.06,0,0,0,0,0,3.03,2,1.09,1.64,0.3,1.21,1.64,74.1,0.42,1.03,0.24,1.15,1.52,0,50.4,2.36,11.6,29.8,9.94,1.82,2.3,0.91,39.5,0.97,42.1,26,145.6,1.33,1.33,0.24,1.58,0.55,33.6,1.39,0.36,0,0,1.82,2.06,0,0,0,0,5.45,2,2.06,49.3,0.0606060606060606
16,30,14,8.5,1,1.18,0.35,30,0.1,0.33,21.9,0,0,85,326.6,29.2,89.5,27.4,92.7,5.29,8.94,59.2,0,1.06,8,1.18,0,9.53,1.53,0.94,0.24,0.59,0.82,0.35,0.24,0,0,0.24,0.82,2.71,2.47,0.12,0,0.12,0,0,0.24,0.24,0,0,0,0,0,2.71,1.29,0.71,1.29,0.71,1.29,3.41,37.9,2.12,1.41,0.47,0.47,1.29,0.12,84.6,2.47,14.9,54.1,16.4,1.29,2,1.06,52.9,0.71,35.3,66.8,302,0.82,1.18,0.24,1.65,1.88,62.1,2.71,0.35,0,0,2.82,0.94,0.12,0,0,0,8.71,1.18,0.71,62.5,0.117647058823529
18,27,23,21.2,2,1.42,0.52,36.7,0.03,0.09,21.9,0.42,0.05,64.7,150,10.8,79,10.5,71.7,3.92,8.16,48,0.28,2.45,2.78,0.85,0.42,3.77,7.83,2.78,0,0.52,6.93,0.24,3.96,1.7,0,0.38,1.56,4.06,1.84,1.84,0,0.19,0.19,0,0.38,0.14,0.24,0,0,0,0,0.52,0.28,0.05,0.19,0.28,0.28,0.66,42.9,0.38,0.85,0.14,0.19,0.24,0,43.5,0.57,3.4,20.1,20.4,1.98,1.65,0.52,31.4,0.9,54.3,23.6,131.1,1.84,1.51,0.42,1.84,1.56,27.5,4.39,0.28,0,0,1.32,1.13,0.09,0,0.05,0,4.15,0.33,0.94,25.9,0.0943396226415094
80,29,20,15.7,2,1.08,0.32,29.4,0.12,0.4,18.2,0,0,85.9,150.3,28.9,92.4,20.7,88,3.82,5.73,66.7,0.32,1.46,3.18,1.34,0.38,4.9,2.17,0.45,0.06,0.38,3.12,1.21,0.45,0,0,0.13,0.96,3.5,2.87,0.06,0.25,0.06,0.19,0.06,0.57,0.51,0,0,0,0.06,0,1.97,0.89,0.45,1.15,0.38,0.89,1.78,50,0.89,0.96,0.19,0.64,0.25,0,71.7,1.15,9.94,31.8,30.5,4.2,2.99,1.34,44.7,1.27,42.6,44.2,313.9,4.14,3.31,1.53,1.21,1.46,53.8,8.73,0.13,0,0,0.64,0.7,0.13,0.06,0,0,4.46,0.13,0.32,28.6,0.127388535031847
18,22,7,1.8,0,1.11,0,0,0,0,17.1,0,0,92.2,288.9,35,94,37.2,95.5,7.22,8.89,81.3,0,0.56,5.56,2.22,0,9.44,0,0,0,0.56,0,0,0,0,0,0.56,0,1.67,1.67,0,0,0,0,0,0.56,0.56,0,0,0,0,0,0.56,0,0,0.56,0,0.56,3.89,14.3,3.33,0.56,0,0.56,1.67,0,93.9,3.33,22.2,56.1,16.1,1.67,0.56,0,0,0.56,100,60,294.4,1.67,2.22,0.56,1.67,2.22,75.6,1.67,0.56,0,0,0.56,0,0,0,0,0,4.44,0.56,1.67,25,0
30,23,15,13.3,0,0.3,0.08,25,0,0,29.7,0,0,84.1,221.4,22.3,88.9,18.8,90.8,4.14,5.64,73.3,0.08,0.38,3.76,0.3,0,5.11,1.88,1.73,0,0.53,0,0,0,0,0,0,1.43,1.43,1.13,0,0.08,0,0.23,0,0.23,0.08,0,0.08,0,0.08,0,3.23,1.35,1.28,1.35,0.6,1.43,2.78,51.4,1.35,1.88,0.68,0.83,1.35,0.08,64.1,3.46,18.5,38.3,7.89,0.45,1.5,0.6,40,0.6,40,34.8,132.7,0.83,0.53,0,0.83,0.68,39.8,0.45,0.23,0,0,1.58,1.43,0,0,0,0,6.99,1.43,1.05,57.6,0
75,29,21,21,5,2.05,0.62,30.2,0.09,0.31,21.6,0.14,0.05,74.1,206.9,20.6,85.6,15,77.2,4.29,7.9,54.2,0.19,2.71,3.33,2.19,0.24,6.71,4.1,0.67,0.71,0.9,3.43,0.43,1.52,0.62,0,0.24,1.29,4.95,4.05,0.33,0.14,0.33,0.1,0,0.57,0.52,0,0,0.05,0,0,2.43,1.38,0.86,0.9,0.67,1.05,2.05,51.2,1,1,0.1,0.71,1.29,0,61.8,2.19,9.86,24.6,27.8,3.48,1.48,0.57,38.7,0.71,48.4,34.2,158.7,1.95,1.81,0.33,1.1,1.43,41.9,5.57,0.24,0,0,1.29,1.1,0.48,0,0,0,6.29,0.48,1.52,23.8,0.238095238095238
85,25,17,15.5,3,0.9,0.32,35.7,0.21,0.6,22.1,0,0,81.6,216.9,21.5,88.6,19.5,85.8,4.97,7.35,67.5,0.19,1.16,4.65,1.87,0.06,7.1,1.29,0.84,0.71,0.71,0.45,0.26,0.19,0,0,0.39,0.9,2.97,2.39,0.06,0.06,0,0.32,0.13,0.45,0.39,0,0,0,0,0.06,2.45,1.23,0.65,1.61,0.19,1.03,1.87,55.2,0.84,1.29,0.19,1.35,0.84,0.06,67,2.32,13.2,37.5,17.2,1.16,3.03,1.35,44.7,1.1,36.2,42.8,227.2,1.1,1.55,0.06,1.29,2.32,48.5,0.77,0.19,0,0,1.42,2.71,0,0,0,0,8.13,0.58,0.39,60,0.193548387096774
20,19,9,3,0,2,0.33,16.7,0,0,24.7,0,0,83.8,157,20.3,88.4,26,87.2,8.67,10.3,83.9,0,0.67,7,0.33,0,6.67,0,0,0,1,0,0,0,0,0,0.33,2,3,2,0,0.33,0.33,0,0.33,0,0,0,0,0,0,0,3.33,3,0.33,2.67,0.33,2.33,3,77.8,0.67,3.33,0.33,0.33,0.67,0.67,82.3,2,9,56.3,18.3,0.33,5.67,3,52.9,2,35.3,65,432,4,4.33,0.33,2,3,60.7,2,0.67,0.33,0,3,2,0,0,0,0,8.33,0.33,1.67,16.7,0
15,20,8,2.2,0,1.82,0.45,25,0,0,16.4,0,0,81.7,112.7,25,83.3,5.91,76.9,1.82,1.82,100,0,1.36,2.73,1.82,0.91,4.55,0.45,0,0,0,1.36,0,0,0,0,0,1.82,3.18,2.27,0,0,0.45,0,0.45,0,0,0,0,0,0,0,3.64,1.82,2.27,1.36,0,0.91,1.36,66.7,0.45,1.82,0,1.82,0.45,0,58.6,1.82,13.2,20.5,25.9,5,3.18,0.91,28.6,2.27,71.4,34.1,270.9,5.91,1.36,0,3.64,1.36,36.4,5.91,0,0,0,0.45,0.91,0,0,0,0,5.91,0.45,1.36,25,0
40,31,17,13.7,2,1.24,0.36,29.4,0.12,0.4,22.5,0,0,77.7,286,22.3,83.6,23.9,82.3,5.47,9.05,60.5,0.22,1.17,5.62,1.02,0.22,5.99,1.17,1.17,0.44,0.73,0.88,0,0,0,0,0.22,1.02,3.14,2.77,0,0,0.29,0.07,0,0.44,0.44,0,0,0,0,0,4.09,1.9,1.97,1.68,0.44,2.12,3.43,61.7,1.31,2.04,0.44,1.61,2.77,0,76.9,4.6,23.1,41.4,13.2,1.02,0.88,0.29,33.3,0.36,41.7,36.7,122.3,0.58,0.8,0,1.02,0.73,48.7,1.68,0.36,0.07,0,2.26,1.39,0,0,0,0,7.81,2.34,1.09,68.1,0.145985401459854
35,23,20,18.3,0,1.26,0.27,21.7,0,0,25.9,0,0,83.3,186,17,90.7,17,85.2,2.84,3.93,72.2,0.11,0.98,3.99,0.27,0,4.54,0.44,0.44,0.11,0.11,0.16,0,0,0,0,0,1.09,2.08,1.58,0,0.11,0.22,0.05,0.11,0.16,0.05,0,0,0.05,0,0.05,3.01,1.91,1.64,1.26,0.11,1.15,2.08,55.3,0.93,1.42,0.55,2.08,1.37,0,53.5,3.11,15.6,30.4,8.09,0.33,0.71,0.49,69.2,0.22,30.8,25.9,129.7,0.66,0.98,0,0.77,0.93,31,0.55,0.38,0,0,1.37,0.38,0,0,0,0,7.1,0.71,0.82,46.4,0
18,31,19,16.5,1,1.39,0.48,34.8,0.04,0.13,19.1,0.18,0,78.9,241.6,25.6,88.1,20.9,83.8,4.48,8.85,50.7,0.42,1.52,5.39,1.03,0.12,6.3,4.97,1.39,0.36,0.97,3.64,0.24,3.03,1.15,0,0.3,1.09,2.97,2.06,0.79,0.06,0.06,0,0,0.48,0.36,0.12,0,0,0,0,0.73,0.61,0.42,0.18,0.12,0.3,1.09,27.8,0.79,1.03,0.42,0.48,1.09,0.06,69.7,2.24,12.7,38.1,18.9,1.33,0.48,0.12,25,0.36,75,40.1,155.5,0.97,1.09,0.06,1.15,0.85,50.4,2.55,0.18,0,0,0.61,0.36,0.12,0,0,0,6.85,0.42,0.55,43.8,0.0606060606060606
16,29,12,10.7,1,0.93,0.56,60,0.1,0.17,11.6,0,0,72.6,173.8,15.9,79.4,16,73.7,2.24,4.02,55.8,0.19,0.65,3.83,0.37,0,3.36,0.75,0.28,0.19,0.47,0.47,0.19,0,0,0,0.37,0.47,1.96,1.59,0,0.09,0.28,0,0,0.47,0.28,0,0,0.19,0,0,2.24,1.12,1.03,1.21,0,0.65,1.96,33.3,1.31,1.5,0.56,2.15,2.15,0.19,54.2,4.49,17.8,28.5,8.5,2.15,1.03,0.37,36.4,0.56,54.5,23.5,79,0.09,0.47,0.09,0.56,0.56,26.1,0.28,0.09,0,0,1.4,0.93,0,0,0,0,8.97,0.84,0.93,47.4,0.0934579439252337
80,25,15,14.2,12,2.89,1.2,41.5,0.24,0.59,15.8,0.28,0.14,80.6,98,14.4,86.8,7.61,86.1,2.61,3.87,67.3,0,1.9,1.83,1.41,0.14,3.73,1.97,0.7,0.28,0.35,0.99,0.21,0.35,0.14,0,0.21,0.92,4.23,3.03,0.21,0.35,0.42,0.21,0,0.35,0.14,0,0,0.07,0.14,0,0.21,0.14,0,0.07,0.14,0.07,0.28,25,0.21,0.42,0.14,0.42,0.56,0,41.6,0.77,3.38,18.2,20.5,5.28,2.96,1.2,40.5,1.27,42.9,28.7,141.1,1.97,1.27,0.99,2.11,1.76,32.2,7.32,0.07,0,0,0.7,1.69,0.56,0.14,0,0,3.1,0.85,0.85,50,0.845070422535211
32,21,9,1.3,0,1.54,0,0,0,0,13.8,0,0,86.1,112.3,24.6,97,22.3,89.7,2.31,5.38,42.9,0,2.31,1.54,3.85,0.77,5.38,0.77,0,0,0.77,3.08,0,0.77,0,0,0,0,3.85,3.08,0,0.77,0,0,0,0,0,0,0,0,0,0,2.31,0.77,0,0.77,1.54,0.77,0.77,100,0,0,0,0.77,0.77,0,73.1,1.54,6.92,24.6,41.5,11.5,6.15,3.85,62.5,1.54,25,50,283.8,6.92,1.54,5.38,6.92,2.31,57.7,13.8,0.77,0,0,0.77,2.31,0.77,0,0,0,5.38,0.77,0.77,50,0
40,23,20,9.3,1,1.4,0.54,38.5,0.08,0.2,19.8,0,0,79,155.7,22.8,87.6,18.2,84.6,2.26,4.62,48.8,0.11,1.83,4.52,1.29,0.54,5.91,3.98,0.75,0.11,0.32,3.98,0.65,2.15,0.97,0,0.22,1.83,2.9,2.04,0.43,0.11,0.22,0,0.11,0.32,0.22,0,0.11,0,0,0,3.01,2.04,1.18,1.08,0.75,0.86,2.37,36.4,1.51,1.72,0.32,1.29,1.51,0,68.4,2.26,13.7,32.9,22.7,2.69,2.69,0.97,36,1.29,48,41.3,218.8,2.15,2.69,0.65,2.15,2.26,46.8,4.73,0.65,0.11,0.11,2.04,2.37,0,0,0,0,5.7,1.4,1.94,41.9,0.10752688172043
30,22,6,2.1,0,1.9,0.48,25,0,0,17.1,0,0,85.5,210,30,88.7,23.3,93.9,2.38,3.81,62.5,0,0.95,4.29,1.43,0,8.1,1.43,0,0.48,0.48,1.43,0.95,0,0,0,0,0.95,4.29,2.86,0,0.48,0.48,0,0.48,0,0,0,0,0,0,0,1.9,0.95,0.48,0.48,0.95,0.95,1.9,50,0.95,0.48,0,0.48,0.48,0,80.5,1.43,12.4,38.6,30,4.76,2.86,1.43,50,1.43,50,54.8,276.2,2.86,1.43,1.43,1.9,2.86,63.8,7.62,0.48,0,0,1.43,2.38,0,0,0,0,5.71,0,0,0,0
100,24,22,22,1,1.14,0.18,16,0.04,0.25,24.9,0,0,87.8,263.8,24.4,89.2,22,95.5,6.55,8.86,73.8,0.05,1.18,7.05,0.36,0.14,7.09,1.5,1.23,0.09,1.86,1,0.09,0.18,0.14,0,0.05,0.73,3,2.59,0.09,0.05,0.05,0.09,0.14,0.14,0.14,0,0,0,0,0,2.32,0.95,1.09,1.14,0.09,0.77,1.14,68,0.36,1.14,0.45,1.59,1.55,0,69.2,3.09,17.8,41,11.7,0.64,1.27,0.64,50,0.5,39.3,40.1,246,2.5,2.05,0.05,0.73,0.64,46.5,1.05,0.14,0,0,0.77,0.23,0.05,0,0,0,9.41,1.05,0.68,60.5,0.0454545454545455
70,23,18,15,3,1.67,0.93,56,0.12,0.21,22.9,0.2,0,79.6,203.1,23.7,86.6,16.5,83.1,5.07,7.4,68.5,0.53,2.6,3.67,1.6,0.13,5.27,6.73,2.4,0.67,0.87,3.93,1.53,2.73,0.73,0.07,0.13,1.6,5.47,3.47,1.13,0.13,0.27,0.4,0.07,0.87,0.47,0.2,0,0.07,0.13,0,1.6,1.13,0.4,0.67,0.53,0.47,1.07,43.8,0.6,1.53,0.07,0.73,1.33,0,67,1.2,10,33.3,24.7,1.53,3,1.4,46.7,1.33,44.4,38.5,197.7,2.8,2.2,0.33,2.13,1.27,44.4,4.47,0.07,0.07,0,1.07,1.33,0.07,0,0,0,6.67,0.27,0.6,30.8,0.2
55,25,20,15.9,2,1.07,0.38,35.3,0.12,0.33,26.2,0.13,0,82.6,208.6,20.9,89.3,23.2,87,5.16,8.87,58.2,0.25,1.64,3.27,0.69,0.19,3.96,6.79,3.9,0.19,0.44,3.46,0.25,2.58,1.32,0.06,0.13,0.44,3.21,2.14,0.75,0.13,0.06,0.06,0.06,0.31,0.19,0.06,0,0,0,0.06,2.33,1.26,1.07,0.82,0.44,0.82,1.57,52,0.75,1.38,0.19,1.38,0.63,0.06,69,1.89,16.4,39.7,13.8,0.44,1.38,0.57,40.9,0.5,36.4,36.7,188.3,1.51,1.13,0.13,1.01,1.01,42.2,1.01,0.13,0.06,0,1.57,1.26,0.06,0,0,0,6.73,1.07,0.94,53.1,0.125786163522013
48,25,22,17.2,3,2.27,0.58,25.6,0.08,0.3,23,0.52,0,78.7,136.9,18.4,88.1,12,81.1,2.62,5.52,47.4,0.17,1.98,2.91,0.99,0.06,3.9,5.47,2.44,0.23,0.23,2.85,0.17,2.21,0.87,0.06,0.29,0.29,3.43,1.98,0.93,0.23,0.06,0.12,0.12,0.47,0.23,0.06,0.17,0,0,0,1.4,0.81,0.47,0.64,0.29,0.35,0.93,37.5,0.58,0.99,0,0.41,0.17,0,51.6,0.58,8.43,26,18.5,2.21,3.72,1.92,51.6,1.45,39.1,29.7,172.3,2.27,2.03,0.99,2.27,1.74,33.4,3.78,0.06,0,0,0.76,1.98,0.12,0,0,0,6.57,0.47,1.22,27.6,0.174418604651163
13,21,10,1.3,0,3.08,0.77,25,0,0,12,0,0,76.1,206.2,20.8,81.8,20,84.6,1.54,1.54,100,0,2.31,5.38,0.77,0,6.15,1.54,0,0,0,2.31,0.77,0.77,0,0,0.77,3.85,6.92,3.08,0,0.77,0,3.08,0,0,0,0,0,0,0,0,3.85,2.31,3.08,0,0.77,1.54,3.08,50,1.54,3.08,0.77,1.54,0,0,83.8,1.54,13.1,26.9,46.2,16.9,10,1.54,15.4,5.38,53.8,53.8,383.8,11.5,3.85,6.92,2.31,3.85,56.2,10.8,0,0,0,1.54,5.38,0.77,0,0,0,9.23,3.85,1.54,71.4,0
30,23,5,0.6,0,3.33,1.67,50,0,0,17.5,0,0,86.4,125,15,100,11.7,100,3.33,5,66.7,0,5,1.67,3.33,0,3.33,3.33,0,0,0,3.33,0,3.33,3.33,0,0,1.67,5,3.33,1.67,0,0,0,0,0,0,0,0,0,0,0,1.67,1.67,1.67,0,0,1.67,3.33,50,1.67,0,0,0,3.33,0,48.3,1.67,13.3,11.7,23.3,1.67,5,3.33,66.7,1.67,33.3,18.3,81.7,0,0,0,0,1.67,23.3,5,0,0,0,1.67,0,0,0,0,0,5,0,3.33,0,0
80,22,2,2,0,1.5,0,0,0,0,26.7,0,0,87.6,387,24,82.8,40,96.3,11,12.5,88,0.5,1,9,0.5,0,8.5,2,2,0.5,1,0,0,0,0,0,0,1.5,3,2.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,4.5,3,3,1.5,0,1.5,4,37.5,2.5,3,1,2,2,0,99.5,6,29,60,11.5,0.5,1,0.5,50,0.5,50,58,287,1.5,2,0,2,1.5,72,0.5,0,0,0,0,1,0,0,0,0,8.5,0.5,0.5,50,0
25,23,12,3,1,2.33,0.67,28.6,0.14,0.5,21.7,0,0,79.6,123.7,21.7,92.9,16,83.3,1.33,4.33,30.8,0.33,1.33,4.33,1.33,0.33,5,2.67,1.67,0,0,3,0.67,0.33,0.33,0,0,1,3,2,0.33,0.33,0.33,0,0,0.67,0.67,0,0,0,0,0,1.33,0.67,1,0,0.33,0.67,1,66.7,0.33,0.33,0,1,0.33,0,59.7,1,5.33,29.3,25.7,2.67,3.33,1,30,2,60,35.7,145.3,0.67,1,0,3,1.67,41.7,6.33,0,0,0,1,0.33,0,0,0,0,6.33,0.33,0.33,50,0.333333333333333
14,27,8,5.8,1,2.24,0.52,23.1,0.08,0.33,20.6,0,0,83.1,160.3,20.3,89.4,16.4,84.2,2.93,3.79,77.3,0,0.69,3.1,1.55,0,6.9,2.41,0.52,0.17,0.52,0.86,0.52,1.21,0.34,0,0.17,1.21,2.59,1.9,0,0,0.52,0.17,0,0,0,0,0,0,0,0,3.62,2.93,0.52,2.24,0.86,1.38,2.07,66.7,0.69,1.03,0,0.86,0.52,0,60.9,0.17,9.66,27.1,25.3,2.59,2.59,1.38,53.3,0.86,33.3,34.8,203.1,1.9,1.72,0.52,2.41,2.24,44.8,5.69,0.17,0,0,1.21,2.41,0.52,0,0,0,4.48,0.17,0.34,33.3,0.172413793103448
22,23,11,6.6,0,1.21,0.61,50,0,0,20.1,0.3,0,75.1,124.7,13.2,86.1,12.6,81.9,3.03,5.15,58.8,0.45,2.58,2.58,1.06,0.45,3.94,3.33,0.45,0.15,0.61,3.94,0.3,2.42,0.91,0,0.61,2.12,3.94,3.18,0.76,0,0,0,0,0.91,0.61,0.3,0,0,0,0,1.67,0.91,0.61,0.91,0.15,0.61,1.67,36.4,1.06,0.61,0,0.3,0,0.15,46.7,0.45,6.52,21.5,19.2,3.64,2.27,0.61,26.7,1.36,60,29.4,198.8,2.12,1.06,1.06,2.42,3.48,34.2,5.45,0.15,0,0,1.36,0.3,0.15,0,0,0,5.3,0.45,0.76,37.5,0
18,28,22,20.2,2,0.79,0.2,25,0.13,0.5,20.5,0,0,75.4,116.9,15.6,83.8,11.6,82.1,2.28,4.21,54.1,0.05,1.04,2.52,0.99,0.4,2.92,1.68,0.4,0,0.1,1.68,0.2,0.1,0.05,0,0.15,1.29,2.08,1.78,0.1,0.1,0.05,0.05,0,0.15,0.1,0,0.05,0,0,0,1.19,0.79,0.35,0.74,0.1,0.45,1.24,36,0.79,1.58,0.2,0.69,1.34,0,48,1.83,8.37,26.5,13.5,1.29,0.84,0.3,35.3,0.54,64.7,22.3,102,0.94,0.84,0.1,1.44,0.69,27.9,2.77,0.25,0,0,0.94,0.69,0.1,0,0,0,4.95,0.94,1.09,46.3,0.099009900990099
35,20,20,12.6,1,1.67,0.48,28.6,0.05,0.17,19.3,0,0,79.6,158.6,24.8,89.4,18.7,79.2,2.06,4.13,50,0.08,1.27,4.05,2.22,0.4,6.98,1.9,0,0.32,0.16,2.22,0.4,0.08,0,0,0.4,1.11,3.89,3.02,0.08,0.4,0.32,0.08,0,0.48,0.48,0,0,0,0,0,1.03,0.56,0.32,0.32,0.4,0.32,1.51,21.1,1.19,1.59,0.08,0.48,0.48,0,64,0.63,7.86,28.7,28,2.7,2.7,1.19,44.1,0.95,35.3,41.2,218.8,3.17,2.7,0.63,1.51,1.19,47.6,7.3,0.08,0,0,0.79,1.59,0.08,0,0,0,5.95,0.08,0.71,10,0.0793650793650794
42,22,18,13.7,2,0.88,0.51,58.3,0.17,0.29,19.2,0,0,82.7,104.8,18.2,87.4,10.8,85.1,1.53,2.12,72.4,0.15,1.24,3.28,0.8,0,3.87,0.15,0.15,0,0,0.58,0,0,0,0,0.29,0.8,2.77,2.26,0,0.07,0.07,0.29,0.07,0.22,0.15,0,0,0,0.07,0,2.85,1.82,1.09,1.31,0.44,1.02,1.97,51.9,0.95,2.34,0.36,1.09,0.95,0,49.6,1.9,8.69,26.4,15.2,2.26,1.46,0.44,30,0.51,35,28.6,171.2,2.92,1.97,0.58,2.63,1.24,32.3,4.23,0.29,0,0,1.09,1.9,0.07,0,0,0.07,5.26,0.66,1.53,30,0.145985401459854
16,22,6,1.6,0,1.25,0.63,50,0,0,22.4,0,0,74.7,108.1,16.9,90,21.3,91.2,0.63,6.25,10,0,0,3.75,0,0,3.13,3.13,0,0,0.63,3.75,0,3.13,2.5,0,0,1.25,0.63,0,0,0,0.63,0,0,0,0,0,0,0,0,0,3.75,3.13,0.63,2.5,0.63,0.63,2.5,25,1.88,1.25,0,2.5,0.63,0,61.9,3.75,11.3,35.6,16.3,2.5,1.25,0.63,50,0.63,50,31.9,175,0.63,1.25,0.63,0.63,0.63,33.8,0.63,0.63,0,0,2.5,0,0.63,0,0,0,8.13,1.25,0.63,66.7,0
70,26,16,14.1,9,3.19,1.06,33.3,0.2,0.6,20.2,0.5,0,77,169.6,16.7,87.7,16.9,79.8,3.55,7.02,50.5,0.35,2.48,5.04,0.92,0.14,6.17,5.04,2.27,0.21,0.28,3.97,0.07,2.55,1.42,0.14,0.14,0.85,4.61,2.91,0.85,0.21,0.21,0.28,0.14,0.5,0.43,0.07,0,0,0,0,1.84,0.78,0.85,0.71,0.28,0.71,2.06,34.5,1.35,0.57,0,0.64,0.35,0,56.2,0.64,5.53,26.7,24.3,4.04,2.41,0.85,35.3,0.85,35.3,37.6,200.1,2.48,1.63,0.99,1.7,0.99,43.5,5.89,0.43,0,0,1.21,2.55,0.14,0,0,0,3.12,0.14,0.5,22.2,0.638297872340426
38,29,22,22,5,1.09,0.41,37.5,0.21,0.56,25.6,0.41,0,75.8,230.3,21.1,88.9,20.5,80,4.77,10.2,46.9,0.09,2.14,4.68,0.82,0.36,5.36,9.05,4.14,0.05,0.5,7.55,0.14,4.09,1.77,0,0.09,1.05,3.5,1.55,1.86,0.05,0.05,0,0,0.23,0.09,0.05,0.05,0.05,0,0,1.59,0.86,0.59,0.82,0.18,0.45,1.32,34.5,0.86,0.59,0.05,1.23,0.95,0,65.3,2,11.1,34.6,19.8,0.77,0.45,0.18,40,0.27,60,29.5,110.8,0.59,0.68,0,0.91,0.68,37.5,1.5,0.14,0,0,0.95,0.45,0,0,0,0.05,5.73,1.68,1.18,58.7,0.227272727272727
