"value","age","MP","X90s","Goals","Shots","SoT","SoT.","G.Sh","G.SoT","ShoDist","ShoFK","ShoPK","PasTotCmp.","PasTotPrgDist","PasShoCmp","PasShoCmp.","PasMedAtt","PasMedCmp.","PasLonCmp","PasLonAtt","PasLonCmp.","Assists","PasAss","Pas3rd","PPA","CrsPA","PasProg","PasDead","PasFK","TB","Sw","PasCrs","TI","CK","CkIn","CkStr","PasOff","PasBlocks","SCA","ScaPassLive","ScaPassDead","ScaDrib","ScaSh","ScaFld","ScaDef","GCA","GcaPassLive","GcaPassDead","GcaDrib","GcaSh","GcaFld","GcaDef","Tkl","TklWon","TklDef3rd","TklMid3rd","TklAtt3rd","TklDri","TklDriAtt","TklDri.","TklDriPast","Blocks","BlkSh","Int","Clr","Err","Touches","TouDefPen","TouDef3rd","TouMid3rd","TouAtt3rd","TouAttPen","ToAtt","ToSuc","ToSuc.","ToTkl","ToTkl.","Carries","CarTotDist","CarProg","Car3rd","CPA","CarMis","CarDis","Rec","RecProg","CrdY","CrdR","X2CrdY","Fls","Fld","Off","PKwon","PKcon","OG","Recov","AerWon","AerLost","AerWon.","G.MP"
2.5,32,15,7.9,1,0.76,0.13,16.7,0.17,1,13.9,0,0,85.5,100.1,18.2,91.1,10.6,90.5,1.77,2.28,77.8,0,0.76,2.41,0.38,0.13,3.54,0.89,0.89,0.13,0.38,0.63,0,0,0,0,0.51,0.63,1.14,1.01,0,0,0,0,0.13,0,0,0,0,0,0,0,2.28,1.65,0.89,1.14,0.25,0.89,0.89,100,0,0.89,0.25,1.01,0.89,0,47,2.03,7.72,26.5,13.2,2.28,0.76,0.25,33.3,0.25,33.3,23.8,104.2,1.27,1.27,0.13,2.28,1.77,34.2,3.42,0.25,0,0,1.27,0.76,0,0,0,0,4.43,0.76,0.51,60,0.126582278481013
90,26,18,14.5,2,0.9,0.55,61.5,0.15,0.25,17.9,0,0,89.7,340.1,38.2,93.7,26.4,91.9,4.69,5.79,81,0.07,1.45,7.66,1.72,0.21,8,2.41,1.24,0.55,0.62,0.76,0.62,0.48,0.14,0,0.48,0.9,3.93,3.03,0.28,0.28,0.14,0.07,0.14,0.34,0.28,0.07,0,0,0,0,1.86,0.97,0.55,0.9,0.41,0.83,1.52,54.5,0.69,0.34,0,1.38,0.83,0.07,84.5,1.38,13.6,51.8,19.8,1.93,2.07,1.31,63.3,0.62,30,58.3,370.3,3.52,3.1,0.41,0.9,1.1,67.4,3.1,0,0,0,0.9,1.03,0.07,0,0,0,6.9,0.62,0.55,52.9,0.137931034482759
90,19,20,14.1,1,0.92,0.21,23.1,0.08,0.33,16.2,0,0,86.3,105.2,26.2,92.5,12.7,87.7,2.13,2.98,71.4,0.14,1.7,3.76,1.7,0.21,4.33,1.28,0.35,0.35,0.57,1.7,0.5,0,0,0,0.14,1.06,3.26,2.62,0,0.14,0.07,0.21,0.21,0.28,0.21,0,0.07,0,0,0,1.84,1.28,0.21,1.28,0.35,0.92,1.77,52,0.85,1.21,0.14,0.78,0.71,0,57.3,0.78,4.61,31.3,22.2,2.98,1.63,0.78,47.8,0.71,43.5,38.1,190.3,1.56,2.06,0.35,2.2,0.99,43.9,5.89,0.28,0,0,3.4,2.06,0.5,0,0,0,4.4,1.7,0.99,63.2,0.0709219858156028
3.5,28,18,14,0,1,0.21,21.4,0,0,27.1,0.21,0,75,202.9,14,85.6,15.4,82.8,5.64,9.71,58.1,0.21,1.64,3.57,0.93,0.29,4.5,5.29,2.21,0.21,1.57,4.64,0.07,2.71,1.36,0,0.57,1.07,3,1.71,1.21,0,0,0.07,0,0.21,0,0.21,0,0,0,0,1.71,1,1,0.64,0.07,0.57,1.43,40,0.86,1.36,0.5,0.86,1.57,0,54.7,2.43,11.1,31.2,12.7,0.5,0.64,0.07,11.1,0.29,44.4,27.9,115.9,0.5,0.64,0.07,0.79,0.21,32.5,1.07,0.43,0,0,2,0.64,0,0,0,0,5.5,0.71,0.86,45.5,0
3,29,15,12,2,1.17,0.5,42.9,0.14,0.33,16.1,0,0,86.9,129.6,15.3,89.7,14.4,89.6,2.67,3.33,80,0.25,1.17,3.58,0.75,0,5.08,0.33,0.25,0,0.25,0.08,0.08,0,0,0,0.17,0.5,2.83,2.58,0,0.08,0.17,0,0,0.42,0.33,0,0,0.08,0,0,1.58,0.75,0.25,1.08,0.25,0.33,1.17,28.6,0.83,1,0,0.25,1.08,0.08,46.3,2.5,9.92,26.1,10.6,2.08,1.5,0.67,44.4,0.83,55.6,29.3,144.3,1.25,1.25,0.17,2,0.5,33.3,1.58,0.25,0,0,1.08,1.83,0.25,0,0,0,4.92,0.67,0.75,47.1,0.166666666666667
2.8,25,15,7.7,0,0.13,0,0,0,0,26.1,0,0,83.2,176.2,17.7,84,21.4,87.9,3.51,5.32,65.9,0,0,3.25,0.13,0,3.38,4.55,4.03,0,0,0.91,0,0.39,0.13,0,0.13,0.13,1.17,0.91,0.13,0,0,0.13,0,0,0,0,0,0,0,0,1.69,0.91,0.52,1.04,0.13,0.91,1.95,46.7,1.04,1.43,0.39,0.52,1.17,0.13,58.8,2.47,13.2,37.4,8.44,0.13,0.65,0.26,40,0.26,40,31.9,157,1.17,0.78,0,1.3,0.52,35.6,0.26,0.26,0,0,2.21,2.34,0,0,0.13,0,7.14,1.17,0.65,64.3,0
28,29,18,16.4,0,0.55,0.24,44.4,0,0,26.3,0,0,86.8,230.4,21.8,90.9,19.8,90.7,3.6,5.43,66.3,0,0.3,4.02,0.18,0,3.78,2.8,2.68,0.12,0.73,0.3,0.12,0,0,0,0.18,0.61,1.1,0.91,0,0,0.12,0.06,0,0.06,0.06,0,0,0,0,0,2.93,1.89,1.34,1.34,0.24,1.28,2.38,53.8,1.1,1.89,0.37,1.28,2.32,0.06,63.2,3.35,17.9,38.8,7.13,0.55,1.04,0.73,70.6,0.18,17.6,29.1,96.2,0.37,0.24,0.12,0.73,0.61,39.9,0.79,0.24,0,0,1.28,1.65,0.06,0,0,0,6.22,1.4,1.04,57.5,0
9,23,17,12.7,1,0.16,0.08,50,0,0,26.1,0,0.08,83.1,242.9,20.8,89.5,22.1,85.4,7.72,10.1,76.6,0.31,1.65,5.2,0.63,0.08,5.51,5.43,4.09,0.24,1.1,1.97,0.08,1.1,0.16,0,0.39,0.71,3.39,2.13,0.94,0,0,0.24,0.08,0.39,0.31,0.08,0,0,0,0,1.02,0.39,0.55,0.47,0,0.24,1.34,17.6,1.1,0.71,0.08,0.94,0.94,0.16,66,2.99,15.1,36.8,14.7,0.39,0.24,0,0,0.16,66.7,36.2,146.8,0.79,0.94,0,0.39,0.94,45.4,1.1,0.39,0,0,1.97,2.2,0,0,0.08,0.08,5.51,1.02,0.94,52,0.078740157480315
2.5,27,17,11.1,0,0.63,0,0,0,0,24.4,0,0,83,122.7,10.6,90.1,13,89.6,2.79,4.41,63.3,0,0.27,2.7,0.09,0,2.7,0.54,0.45,0,0.27,0,0.09,0,0,0,0.18,0.54,0.72,0.54,0,0,0,0.09,0.09,0,0,0,0,0,0,0,1.98,0.99,0.9,1.08,0,0.81,1.44,56.3,0.63,0.81,0.09,0.63,1.53,0,40.9,1.71,11,27.4,3.6,0.54,0.9,0.45,50,0.27,30,22.1,104.4,0.18,0.27,0,1.89,0.9,21.4,0.54,0.36,0,0,2.34,1.53,0,0,0,0,6.67,1.44,0.81,64,0
9,30,18,12.3,0,1.63,0.33,20,0,0,19.1,0.08,0,81.8,231.3,26.3,90,19.6,84.2,3.98,7.15,55.7,0.16,2.52,5.12,1.38,0.24,8.05,8.05,3.5,0.33,0.16,5.28,0.49,3.41,0.41,0,0.33,0.41,5.61,3.09,1.71,0.08,0.08,0.65,0,0.81,0.49,0.16,0,0,0.16,0,0.89,0.65,0.33,0.49,0.08,0.33,0.49,66.7,0.16,0.33,0,0.24,0.16,0,67.2,0.41,5.04,32.4,30.6,2.03,2.76,1.79,64.7,0.57,20.6,44.2,220.9,2.85,2.93,0.57,1.71,1.87,52.7,5.93,0.08,0,0,0.65,3.74,0,0,0,0,3.66,0.16,0.98,14.3,0
20,33,18,13.9,2,2.23,0.58,25.8,0.06,0.25,18.5,0.14,0,87.3,180.3,27.5,92,19.1,90.6,3.6,4.6,78.1,0.14,2.01,5.83,1.58,0,7.27,1.8,0.58,0.65,0.29,1.08,0.22,1.01,0.43,0,0,0.94,4.1,3.17,0.5,0,0.29,0.07,0.07,0.65,0.43,0.07,0,0.07,0.07,0,1.37,0.79,0.14,0.58,0.65,0.65,1.22,52.9,0.58,0.72,0.22,1.01,0.65,0,67.2,1.22,8.27,34.2,25,3.67,1.65,0.43,26.1,0.79,47.8,37.2,196,2.3,1.58,0.29,1.15,1.01,51.9,5.54,0,0,0,1.01,0.86,0.22,0.07,0,0,6.04,1.01,0.43,70,0.143884892086331
3,30,17,14.5,0,0.48,0.14,28.6,0,0,25.8,0,0,82.8,179.4,17.6,88.5,16.7,90.9,3.93,6.41,61.3,0,0.76,4.55,0.76,0,4.83,2,1.38,0.14,0.83,1.86,0,0.62,0.21,0,0.28,0.69,1.79,1.45,0.28,0,0,0.07,0,0.21,0.14,0.07,0,0,0,0,2.41,1.79,1.31,0.9,0.21,0.76,1.66,45.8,0.9,0.9,0.48,0.9,1.03,0,53.7,1.52,12.5,32.8,9.1,0.07,1.1,0.48,43.8,0.48,43.8,31.2,136.1,0.83,0.48,0,0.62,0.69,34.3,0.55,0.41,0,0,2.14,1.59,0,0,0,0,7.17,0.34,0.76,31.3,0
8,31,12,8.9,0,0.45,0.11,25,0,0,15.6,0,0,83,150.2,21.6,91,13.9,87.9,3.03,5.62,54,0.22,1.91,5.06,0.9,0,4.16,4.72,2.81,0.34,0.56,2.02,0.22,1.24,0.22,0,0.45,0.45,3.6,2.47,0.56,0.22,0,0.22,0.11,0.34,0.22,0,0.11,0,0,0,1.69,1.01,0.67,0.56,0.45,0.9,1.57,57.1,0.67,0.34,0,1.12,0.34,0,57.2,1.01,7.87,30.9,19.3,2.25,3.26,1.24,37.9,1.01,31,38.1,230.3,1.8,2.58,0.11,2.36,2.47,43.5,4.04,0.56,0,0,1.24,3.82,0.67,0,0,0,5.39,0.56,1.57,26.3,0
4,24,9,6.2,2,1.29,0.48,37.5,0.25,0.67,12.2,0,0,81.1,72.6,16.6,89.6,11.6,86.1,0.65,1.45,44.4,0,0.81,1.13,0.48,0.16,1.94,1.61,0.16,0,0,0.48,0.32,0,0,0,0,1.94,2.1,1.77,0,0.16,0,0.16,0,0.32,0.16,0,0,0,0.16,0,0.32,0.32,0,0.32,0,0.32,0.48,66.7,0.16,0.81,0,0.32,0.65,0,44.4,1.13,5.65,23.4,15.5,2.58,2.42,0.97,40,1.13,46.7,28.5,156.5,1.13,0.65,0.48,2.58,2.74,35.3,5.65,0,0,0,1.13,0.32,0.16,0.16,0,0,3.71,0.81,0.81,50,0.32258064516129
6,29,17,13,0,0.77,0.23,30,0,0,20,0.23,0,87.7,275.6,28.2,92.9,23.5,91.5,5.77,7.85,73.5,0.08,0.54,7.69,0.31,0,6.85,2.38,1.92,0.15,1.31,0.38,0.15,0.31,0.08,0,0.54,0.62,1.77,1.31,0.15,0,0,0.15,0.15,0.08,0,0.08,0,0,0,0,2,1.08,0.77,1.08,0.15,0.92,1.77,52.2,0.85,0.77,0.31,0.85,0.62,0,71.1,1.31,13.7,43.2,14.5,0.62,0.62,0.31,50,0.23,37.5,40.8,159.3,0.62,1.23,0,0.92,0.38,53.2,1.46,0.38,0,0,1.54,0.85,0,0,0,0,6.77,0.54,0.54,50,0
