"value","age","X90s","Goals","Shots","SoT","SoT.","G.Sh","G.SoT","ShoDist","ShoFK","ShoPK","PKatt","PasTotCmp.","PasTotDist","PasTotPrgDist","PasShoCmp","PasShoCmp.","PasMedCmp","PasMedCmp.","PasLonCmp","PasLonAtt","PasLonCmp.","Assists","PasAss","Pas3rd","PPA","CrsPA","PasProg","PasAtt","PasLive","PasDead","PasFK","TB","Sw","PasCrs","TI","CK","CkIn","CkOut","CkStr","PasOff","PasBlocks","SCA","ScaPassLive","ScaPassDead","ScaDrib","ScaSh","ScaFld","ScaDef","GCA","GcaPassLive","GcaPassDead","GcaDrib","GcaSh","GcaFld","GcaDef","Tkl","TklWon","TklDef3rd","TklMid3rd","TklAtt3rd","TklDri","TklDriAtt","TklDri.","TklDriPast","Blocks","BlkSh","BlkPass","Int","Tkl.Int","Clr","Err","Touches","TouDefPen","TouDef3rd","TouMid3rd","TouAtt3rd","TouAttPen","ToAtt","ToSuc","ToSuc.","ToTkl","ToTkl.","Carries","CarTotDist","CarPrgDist","CarProg","Car3rd","CPA","CarMis","CarDis","Rec","RecProg","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","PKwon","PKcon","OG","Recov","AerWon","AerLost","AerWon.","G.MP"
3,26,7,0,0.71,0.14,20,0,0,16.4,0,0,0,63.1,543.7,237.9,9.86,74.2,15.6,83.8,2.71,11.6,23.5,0,0.14,2.14,0.43,0,4,44.9,42.1,2.57,1.86,0,0.86,0.29,0.71,0,0,0,0,0.14,0.86,0.86,0.86,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0.29,0.86,0.43,0,0.86,1.57,54.5,0.71,0.86,0.43,0.43,0.86,2.14,4.29,0,56.1,4.86,23,29.4,4.43,1.29,1.14,0.57,50,0.57,50,27.4,116.7,76,0.57,0.29,0,0.57,0.14,30.9,0.57,0.43,0,0,1.14,0.86,0,0.29,0,0,0,5.43,3.14,1.71,64.7,0
3,24,10.7,0,0.28,0,0,0,0,7.3,0,0,0,79.8,844.7,354,25.5,91,20.4,84.5,3.74,8.32,44.9,0,0.75,4.58,0.84,0.28,4.3,63,51.9,11,2.06,0.09,0.19,1.96,8.97,0,0,0,0,0.09,1.03,1.5,1.4,0,0,0.09,0,0,0,0,0,0,0,0,0,2.62,1.4,1.78,0.75,0.09,1.68,1.87,90,0.19,0.84,0.28,0.56,0.75,3.36,2.15,0,72.1,3.55,25.3,34.8,13.3,0.84,1.31,0.65,50,0.37,28.6,41.8,228.3,122.2,1.78,1.21,0.19,1.59,0.56,44.2,3.08,0.19,0,0,1.4,0.47,0.09,1.96,0,0.19,0,6.45,0.37,0.56,40,0
8,26,17.3,1,0.58,0.12,20,0.1,0.5,15.5,0,0,0,70.3,472.8,193.4,13.2,92.7,11,70,2.83,6.82,41.5,0.12,0.75,1.79,0.87,0.58,1.97,38.9,29.8,8.96,0.29,0,0.17,3.35,8.67,0,0,0,0,0.12,0.92,1.73,1.16,0.23,0.06,0.06,0.23,0,0.17,0.06,0,0,0.06,0.06,0,2.14,1.39,1.33,0.64,0.17,1.16,2.08,55.6,0.92,1.04,0.46,0.58,0.75,2.89,2.25,0,50,2.89,14.3,21,15.3,1.68,2.54,0.81,31.8,1.21,47.7,24.6,157.5,77.2,2.49,1.97,0.4,1.68,1.04,27.7,4.62,0.23,0.06,0,0.98,1.85,0.12,3.35,0,0,0,4.39,1.1,1.1,50,0.0578034682080925
20,29,18.4,0,0.33,0,0,0,0,22.7,0,0,0,86,650.8,256.3,27,93.6,14.8,87.2,1.85,4.02,45.9,0,0.49,2.45,0.33,0.16,3.37,52.8,46.7,6.09,1.25,0,0.16,0.76,4.84,0,0,0,0,0.05,0.92,1.14,1.03,0,0,0,0.05,0.05,0.05,0.05,0,0,0,0,0,2.93,2.01,2.07,0.87,0,1.63,2.01,81.1,0.38,1.3,0.54,0.76,1.3,4.24,2.99,0,64,5.16,24.7,32.4,7.12,0.82,1.09,0.16,15,0.65,60,35.7,165.3,95.5,1.52,0.98,0.43,0.92,0.49,38.6,2.23,0.16,0,0,1.74,1.41,0,0.76,0,0,0,6.09,1.41,1.03,57.8,0
35,26,15.1,0,0.2,0.07,33.3,0,0,14.3,0,0,0,90.2,924.5,287.5,14.8,89.9,26.8,94.4,5.03,6.69,75.2,0,0.2,2.72,0.07,0,3.64,52.5,49.8,2.58,1.99,0,0.07,0,0.13,0,0,0,0,0.07,0,0.6,0.53,0,0,0.07,0,0,0.07,0.07,0,0,0,0,0,1.26,0.73,0.99,0.26,0,0.53,0.73,72.7,0.2,1.06,0.73,0.33,0.99,2.25,3.31,0,61.1,9.74,32.3,27.7,1.32,0.46,0.13,0.13,100,0,0,36.6,180.4,93.6,0.6,0.26,0,0.26,0.4,39.3,0,0.26,0,0,1.19,1.06,0.07,0,0,0,0,4.11,2.78,1.06,72.4,0
70,24,9.5,0,0.63,0,0,0,0,12.7,0,0,0,88.7,1130.4,348.9,20,92.7,31.5,93.4,6.21,9.16,67.8,0.11,0.21,5.47,0.11,0,4.21,65.5,61.4,3.89,2.11,0.11,0.84,0.11,1.58,0,0,0,0,0.21,0.11,0.95,0.74,0,0,0.21,0,0,0.32,0.21,0,0,0.11,0,0,1.37,0.95,0.63,0.74,0,0.21,0.32,66.7,0.11,0.42,0.21,0.21,0.84,2.21,1.89,0,72.1,4.32,23.4,46.4,2.74,1.26,0.11,0.11,100,0,0,47.2,291.6,204.5,1.79,0.42,0.11,0.32,0.32,52.4,0.63,0.32,0,0,0.53,0.42,0.11,0.11,0,0,0,3.68,2.11,1.26,62.5,0
4,31,6,2,1,0.5,50,0.33,0.67,14.3,0,0,0,91.9,994.5,224.2,40.2,95.6,19.8,90.2,5.17,6.17,83.8,0,0.5,7.67,0.67,0.5,7.67,71.8,64,7.5,0.67,0,0.5,1.67,6.83,0,0,0,0,0.33,0.33,1.5,1.17,0,0,0.33,0,0,0.17,0.17,0,0,0,0,0,1.33,1.17,0.83,0.33,0.17,0.67,0.83,80,0.17,0.83,0.67,0.17,1.33,2.67,1.17,0,79.2,2.5,14.3,42,23.2,2.5,0.83,0.17,20,0.5,60,53.8,240.5,153.8,4.33,2.67,0.83,0.5,0.33,59.7,5.67,0.17,0,0,1,0.83,0.17,1.67,0,0,0,4.67,0.17,0.33,33.3,0.333333333333333
8,25,21,0,1.05,0.29,27.3,0,0,20.4,0,0,0,77.3,557.9,207.1,17.5,88.4,13.4,82.5,2.14,5.29,40.5,0,0.86,2,0.86,0.67,2.43,43.9,34,9.57,1.1,0.1,0.62,3,8.48,0,0,0,0,0.33,0.86,1.57,1.24,0.05,0.05,0.14,0,0.1,0.1,0.05,0,0.05,0,0,0,1.29,0.76,0.9,0.29,0.1,0.57,0.76,75,0.19,1,0.24,0.76,0.62,1.9,1.48,0,53.2,3.24,17.5,23.7,13.1,1.52,2.14,1.19,55.6,0.76,35.6,27.2,181.9,100.5,2.71,1.57,0.52,1.19,1.1,29.7,3.67,0.19,0,0,0.81,0.67,0,3,0,0,0,5.14,0.52,0.62,45.8,0
4,37,17,0,0.59,0.24,40,0,0,11.7,0,0,0,94.7,1542.3,488.2,31.4,95.5,39.6,97.1,9.18,10.4,88.6,0.06,0.12,7.12,0.29,0.12,6.24,87.2,83.8,3.29,1.88,0,1.71,0.65,1.41,0,0,0,0,0.06,0.53,0.82,0.65,0,0,0.12,0.06,0,0.06,0.06,0,0,0,0,0,1.41,1,0.65,0.65,0.12,1.06,1.76,60,0.71,1.06,0.47,0.59,1.18,2.59,2.24,0.12,94.6,9.41,34.9,53,7.12,0.94,0.71,0.29,41.7,0.29,41.7,78.8,381.2,181.9,0.53,0.82,0.18,0.18,0.29,74.5,0.41,0.18,0.06,0,1.18,0.94,0.18,0.65,0.06,0,0,6.53,1.53,1.24,55.3,0
8,24,15.4,0,0.26,0,0,0,0,22.5,0,0,0,77.3,830.7,284,25.9,88.3,17.5,78.7,5,9.16,54.6,0,0.52,4.61,0.84,0.39,4.68,63.8,53.2,10.5,1.43,0.06,0.39,3.44,9.09,0,0,0,0,0.13,1.62,1.95,1.17,0.06,0.06,0,0.58,0.06,0.06,0.06,0,0,0,0,0,2.73,1.88,1.69,0.97,0.06,1.23,1.88,65.5,0.65,0.97,0.06,0.91,1.04,3.77,2.27,0.13,74.9,3.44,23.4,31.8,20.6,1.23,1.56,0.52,33.3,0.65,41.7,40.2,213.2,121.9,2.99,2.08,0.52,1.62,0.65,45.3,5.58,0.19,0,0,1.62,2.27,0.06,3.44,0.06,0,0,6.17,1.1,0.97,53.1,0
6,26,19,0,0.42,0.05,12.5,0,0,15.4,0,0,0,87.8,999.5,350.4,14.8,91.6,28.6,92.5,5.58,8.47,65.8,0,0.16,3.53,0,0,4.11,56.2,54.7,1.42,1.37,0,0.89,0.05,0.05,0,0,0,0,0.05,0.11,0.58,0.47,0.05,0.05,0,0,0,0.05,0,0.05,0,0,0,0,1.26,0.84,0.63,0.58,0.05,0.47,0.95,50,0.47,0.53,0.32,0.21,2.11,3.37,4.26,0.05,66.1,7.63,32.8,31.6,2.11,0.58,0.21,0.11,50,0.11,50,41.1,215.7,122.4,0.74,0.68,0,0.47,0.05,44.1,0,0.26,0,0,0.89,0.89,0.05,0.05,0,0,0.05,5.89,1.84,1.74,51.5,0
8,21,7.6,0,0.66,0,0,0,0,22.8,0,0,0,75.5,619.9,178,20.5,89.1,13.7,75.4,3.16,6.32,50,0.13,1.18,3.03,1.84,0.79,4.87,51.6,45.3,6.18,0.53,0,0.39,4.61,5.66,0,0,0,0,0.13,1.05,3.95,2.5,0.26,0.66,0.13,0.26,0.13,0.26,0.13,0.13,0,0,0,0,2.5,1.71,1.05,1.05,0.39,1.18,1.84,64.3,0.66,0.66,0.26,0.39,0.53,3.03,0.26,0,61.8,1.32,15.1,26.2,21.6,1.05,5,2.63,52.6,1.84,36.8,37.6,276.2,150.7,4.34,3.16,0.53,2.24,0.79,40.8,6.45,0.13,0,0,0.92,1.18,0.13,4.61,0,0,0,6.58,0.13,0.53,20,0
5,30,11.1,0,0.45,0.09,20,0,0,22.6,0,0,0,82.7,651.6,261.4,25.3,90.9,15.9,82.2,1.89,3.96,47.7,0,0.63,2.79,0.63,0.09,4.5,54.7,43.3,11.3,1.35,0,0,1.08,9.91,0,0,0,0,0.09,1.17,1.53,1.08,0.09,0.18,0,0.09,0.09,0.09,0,0,0.09,0,0,0,2.25,0.99,1.44,0.63,0.18,1.08,1.35,80,0.27,2.07,0.63,1.44,0.9,3.15,2.43,0.09,66.6,4.59,21,31.4,15,0.54,1.71,0.72,42.1,0.72,42.1,33.5,165.1,95.4,2.16,1.8,0,1.53,1.26,37,3.24,0,0,0,0.99,1.89,0,1.08,0,0,0,6.04,0.36,0.72,33.3,0
30,21,8.2,0,0.49,0.12,25,0,0,21,0,0,0,81,452.9,134.3,19.1,90.2,10.1,82.2,1.22,3.05,40,0,0.12,3.05,0.61,0.12,3.9,38.5,34.4,4.15,0.73,0,0.12,1.59,3.41,0,0,0,0,0,0.85,0.85,0.61,0,0,0.12,0.12,0,0,0,0,0,0,0,0,2.32,1.71,1.34,0.98,0,0.98,1.95,50,0.98,1.22,0.49,0.73,1.34,3.66,1.34,0,49.3,2.68,12.9,25.9,11,1.1,3.05,0.85,28,1.34,44,30.2,160.6,98.7,2.68,0.85,0,0.85,0.49,30.7,3.05,0.49,0,0,0.85,2.07,0,1.59,0,0,0,4.39,0.49,0.73,40,0
25,25,6.8,0,0.15,0,0,0,0,25.9,0,0,0,82.1,546.8,193.2,27.2,93,9.71,75,1.76,2.65,66.7,0,0.88,3.24,0.44,0.29,2.94,48.4,40.9,7.35,0.44,0,0.29,1.32,6.91,0,0,0,0,0.15,1.18,1.76,1.76,0,0,0,0,0,0.15,0.15,0,0,0,0,0,2.65,1.91,1.91,0.74,0,1.47,1.62,90.9,0.15,1.03,0.15,0.88,1.91,4.56,2.65,0,59.4,3.97,18.7,24.3,16.8,1.91,1.62,0.74,45.5,0.88,54.5,29.7,154.4,82.8,2.35,1.47,0.29,1.18,0.74,32.9,3.38,0,0,0,0.59,0.15,0,1.32,0,0,0,5.15,0.74,1.03,41.7,0
25,28,13.9,0,1.01,0.07,7.1,0,0,11.4,0,0,0,87.3,1172.4,436.7,23.6,92.4,32,90.1,6.26,8.92,70.2,0,0.14,5.4,0.29,0.07,4.96,71.6,67.8,3.74,1.29,0,0.43,0.14,2.45,0,0,0,0,0,0.36,0.72,0.65,0.07,0,0,0,0,0.07,0.07,0,0,0,0,0,0.86,0.58,0.43,0.36,0.07,0.36,0.65,55.6,0.29,1.29,0.72,0.58,1.08,1.94,2.73,0.14,80.1,7.05,35.3,39.5,5.76,1.22,0.43,0.07,16.7,0.29,66.7,50.6,241.5,139.1,0.86,0.86,0,0.5,0.22,55.4,0.36,0.07,0,0,0.5,0.29,0,0.14,0,0,0.07,6.69,2.73,1.22,69.1,0
15,30,15,0,0.87,0.27,30.8,0,0,17.9,0,0,0,75.5,519.1,232.9,19.9,89.8,12,72.9,2.07,4.6,44.9,0.2,0.6,2.53,0.87,0.27,2.93,46.3,36.1,10.2,0.87,0,0.33,1.87,9.33,0,0,0,0,0.07,1.67,1.33,0.87,0.13,0.2,0.13,0,0,0.27,0.2,0.07,0,0,0,0,1.93,1.47,1.27,0.67,0,1.2,2.33,51.4,1.13,1.13,0.27,0.87,1.13,3.07,2.6,0,58.9,3.93,19.4,24.3,15.8,2.4,2.67,0.93,35,1.4,52.5,26.7,175.2,99.7,3.27,2.4,0.8,1.87,0.4,31,5.07,0.07,0,0,1.13,1.27,0.07,1.87,0,0.07,0,5.2,0.6,1.2,33.3,0
40,29,14.7,0,0.61,0.07,11.1,0,0,14.5,0,0,0,78.8,1019.1,316.5,28.4,89.1,25.3,83.8,4.83,9.86,49,0.34,2.04,3.4,1.36,0.68,5.17,75.5,62,13.4,1.77,0,0.34,7.48,8.3,3.33,0.95,2.11,0,0.07,1.7,3.95,2.59,0.95,0.07,0.27,0,0.07,0.48,0.34,0.14,0,0,0,0,1.09,0.68,0.41,0.48,0.2,0.41,1.09,37.5,0.68,1.02,0.27,0.75,0.75,1.84,1.7,0.07,83.1,2.86,24.5,32.9,26.1,2.65,1.5,0.54,36.4,0.88,59.1,42.7,220.1,121.8,2.45,2.11,0.41,1.22,0.48,53.3,8.16,0,0,0,0.68,0.48,0.14,7.48,0,0,0,5.24,0.75,0.88,45.8,0
15,26,19.3,0,0.05,0,0,0,0,27.8,0,0,0,73.3,678.6,273.1,17.6,87.4,17.4,77.6,3.73,8.5,43.9,0,0.67,3.01,1.24,0.67,3.78,53.9,43.9,10,0.67,0,0.16,3.63,9.33,0,0,0,0,0,1.61,1.92,1.81,0.05,0.05,0,0,0,0.1,0.1,0,0,0,0,0,1.61,0.93,1.19,0.36,0.05,1.09,1.3,84,0.21,1.76,0.52,1.24,1.4,3.01,2.38,0.05,64.2,3.68,21.6,27.3,16.4,0.93,2.12,0.88,41.5,0.88,41.5,32.4,222,132,3.37,2.85,0.47,1.24,0.62,34.2,3.83,0.26,0,0,0.83,0.62,0.1,3.63,0,0.05,0,7.41,1.09,0.83,56.8,0
40,25,22,2,0.64,0.14,21.4,0.14,0.67,15.4,0,0,0.05,83.5,883.7,341.4,13.5,88.7,23.2,89.3,5.68,8.73,65.1,0.14,0.36,5.5,0.41,0.14,5.14,51.6,49.2,2.32,1.45,0,0.82,0.5,0.86,0,0,0,0,0.05,0.36,0.77,0.73,0,0,0,0,0.05,0.23,0.23,0,0,0,0,0,1.05,0.68,0.41,0.45,0.18,0.59,0.95,61.9,0.36,1.55,0.86,0.68,1.77,2.82,3.32,0.05,61.1,6.36,22.2,35.2,4.5,1.18,0.36,0.18,50,0.18,50,42.8,301.5,177.6,1.59,1.27,0.09,0.5,0.36,38.8,0.41,0.09,0,0,0.73,0.32,0,0.5,0,0,0,6.18,2.27,1,69.4,0.0909090909090909
35,26,5,1,0.6,0.2,33.3,0.33,1,15.3,0,0,0,78.1,743.4,199.8,33.4,91.8,15,78.1,2.6,7.2,36.1,0.2,0.6,2,0.6,0.4,2.4,66.8,53.8,12.6,1.2,0.2,0.4,3.6,9.6,1.8,1,0,0,0.4,1.2,1.8,1.2,0.4,0,0,0.2,0,0.6,0.4,0,0,0,0.2,0,1.8,1.2,1.2,0.4,0.2,1.6,2.6,61.5,1,0.8,0,0.8,1.2,3,2,0,77.8,1.4,19.4,32.6,26,1.4,1.2,0.4,33.3,0.8,66.7,39.4,230.4,120.4,2.8,2.2,0.4,1.6,1.6,49.2,7.8,0.2,0,0,1.2,1.4,0,3.6,0.2,0,0,4.4,3.2,1,76.2,0.2
15,30,16,2,0.63,0.25,40,0.2,0.5,16.1,0,0,0,84.4,797.9,277.8,22.8,91.2,20.3,90.3,3.44,6.19,55.6,0.06,0.81,3.75,0.19,0.13,5.13,56.5,53.6,2.69,1.44,0,0.38,0.88,1.25,0,0,0,0,0.19,0.56,1.44,1.25,0,0,0.19,0,0,0.25,0.13,0,0,0.13,0,0,0.94,0.44,0.44,0.44,0.06,0.5,0.94,53.3,0.44,0.81,0.38,0.44,0.81,1.75,2.69,0,64.6,4.19,23.4,33.8,7.5,0.88,0.56,0.19,33.3,0.31,55.6,38.4,213.7,133.4,1.56,1.75,0.06,0.69,0.31,46,1.81,0.13,0,0,1.19,0.5,0,0.88,0,0,0,3.5,2.25,2,52.9,0.125
13,25,2.3,0,1.3,0,0,0,0,8.1,0,0,0,79.3,540.9,148.7,11.7,93.1,16.1,82.2,2.17,4.35,50,0,0.43,3.04,0,0,2.17,37.8,34.8,2.61,0.43,0,0,0.43,2.17,0,0,0,0,0.43,0.43,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,2.17,1.3,2.17,0,0,1.74,3.48,50,1.74,2.17,0.87,1.3,0.87,3.04,0.87,0,47.4,4.35,20,23,5.65,1.3,0.87,0.43,50,0.43,50,26.5,128.3,56.1,0,0.43,0,0.87,0,27,0,0,0,0,1.3,0.43,0,0.43,0,0,0,3.91,1.3,0.87,60,0
55,26,18.7,0,0.27,0,0,0,0,19.5,0,0,0,83.6,944.5,319,24.5,91.1,25.7,87.9,3.69,6.84,53.9,0.11,0.8,7.38,1.28,0.43,8.13,65.6,57.2,8.24,1.6,0.16,0.43,1.87,6.63,0,0,0,0,0.16,0.8,2.19,1.82,0.32,0,0,0.05,0,0.37,0.32,0.05,0,0,0,0,2.19,1.28,0.91,1.02,0.27,1.55,2.19,70.7,0.64,1.44,0.37,1.07,0.64,2.83,2.51,0,75.2,2.57,16.3,39.1,20.1,1.23,0.91,0.27,29.4,0.48,52.9,42.1,195.5,109.8,2.14,1.71,0,1.07,0.27,50.4,3.26,0.21,0,0,0.7,0.8,0,1.87,0,0,0,4.17,1.07,1.12,48.8,0
40,22,9.3,2,0.54,0.32,60,0.4,0.67,16,0,0,0,86.1,892,368.2,13.2,89.8,22.6,89.4,6.45,8.92,72.3,0,0.11,4.95,0.32,0,4.19,50.3,48.9,1.4,1.4,0,0.54,0,0,0,0,0,0,0,0.22,0.43,0.22,0,0,0.22,0,0,0,0,0,0,0,0,0,1.08,0.86,0.65,0.43,0,0.54,1.08,50,0.54,0.97,0.65,0.32,1.83,2.9,4.3,0.11,61.1,8.82,25.8,34.8,1.4,0.75,0.11,0,0,0.11,100,43.2,227.7,119.8,0.32,0.32,0.11,0.32,0,37.5,0,0.32,0,0,1.08,0.43,0,0,0,0,0,7.2,2.26,0.75,75,0.21505376344086
60,25,13.3,0,0.45,0.15,33.3,0,0,14.7,0,0,0,87,940.9,331.4,19.2,88.6,26.2,94.8,4.59,6.62,69.3,0,0.23,3.23,0.38,0,3.83,58.9,55.6,3.23,2.33,0.08,0.98,0,0.9,0,0,0,0,0.08,1.05,0.6,0.53,0,0,0,0,0.08,0,0,0,0,0,0,0,2.56,1.35,1.43,1.05,0.08,0.83,1.58,52.4,0.75,1.2,0.45,0.75,1.43,3.98,3.23,0.15,70.2,10.9,34.5,31.7,4.21,0.6,0.83,0.53,63.6,0.3,36.4,44.7,203.2,114.4,0.9,0.98,0.08,0.98,0.6,45.7,0.3,0.53,0.08,0.08,1.65,0.38,0,0,0,0,0,6.24,2.11,0.9,70,0
18,30,2,0,2,0,0,0,0,15.7,0,0,0,78.9,1043.5,401,15,83.3,28.5,86.4,7,12,58.3,0,0,4,0,0,5,64,61.5,2,1.5,0,0,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,1,1,0,0.5,1,1,0,70,4,24.5,42.5,4.5,2,0,0,0,0,0,46,142,75,0,1,0,1,0,50,0,0,0,0,0.5,0,0,0.5,0,0,0,7,1.5,1.5,50,0
40,24,14.1,0,0.99,0.28,28.6,0,0,19.7,0,0,0,77.4,813.8,262.9,19.4,87.5,20.1,81.8,4.82,8.72,55.3,0.14,1.56,3.83,1.49,0.85,3.48,58.6,48.8,9.57,0.57,0.14,1.06,2.06,9.01,0,0,0,0,0.21,1.42,2.48,2.2,0,0.07,0.14,0,0.07,0.14,0.14,0,0,0,0,0,2.2,1.77,1.84,0.35,0,1.35,1.99,67.9,0.64,1.28,0.43,0.85,1.63,3.83,2.13,0.07,69.2,5.04,23.9,28.2,17.5,1.91,1.63,0.92,56.5,0.43,26.1,34,184.8,95.2,2.41,1.13,0.85,0.99,0.28,39.6,3.83,0.35,0,0,1.06,0.21,0,2.06,0,0,0,6.38,1.7,0.78,68.6,0
18,29,21.3,2,0.66,0.19,28.6,0.14,0.5,12.7,0.09,0,0,86.2,1117.3,431.5,20.9,92.3,28.9,92.5,6.57,10.6,62.2,0,0.28,2.58,0.28,0.14,3.1,66.6,64.2,2.3,1.97,0,0.61,0.52,0.28,0,0,0,0,0.14,0.56,0.99,0.8,0.05,0,0.14,0,0,0.05,0.05,0,0,0,0,0,0.94,0.56,0.61,0.28,0.05,0.33,0.52,63.6,0.19,1.13,0.75,0.38,1.22,2.16,3.38,0.05,74.9,11.5,43.8,28.6,2.77,0.89,0,0,0,0,0,45.8,214.1,100.9,0.23,0.33,0.05,0.42,0.14,53.1,0.52,0.09,0,0,0.56,0.28,0.05,0.52,0,0,0,4.13,2.54,1.46,63.5,0.0938967136150235
14,30,14,0,0.5,0.21,42.9,0,0,8.6,0,0,0,73.1,469.9,169.9,10.1,77.9,12.9,81.4,2.43,5.36,45.3,0,0.29,1.64,0,0,1.79,35.8,33.1,2.5,0.57,0,0.07,0.21,1.93,0,0,0,0,0.21,0.14,0.64,0.36,0.14,0,0.14,0,0,0.14,0.14,0,0,0,0,0,1,0.57,0.5,0.14,0.36,0.14,0.36,40,0.21,1,0.86,0.14,1,2,9.14,0.07,50,12.1,30.4,16,3.79,1.79,0.14,0.07,50,0,0,17.6,75.1,41.3,0.07,0,0,0.07,0.43,21.3,0.5,0,0,0,0.29,0.29,0,0.21,0,0,0.07,3.64,4,2.07,65.9,0
25,26,19.9,0,0.2,0,0,0,0,8,0,0,0,86.1,813.2,277.2,16.3,91.3,24.1,92.3,3.47,6.23,55.6,0,0.2,1.91,0.2,0.1,1.26,51.4,49.1,2.11,1.36,0.05,0.15,0.2,0.7,0,0,0,0,0.2,0.5,0.35,0.35,0,0,0,0,0,0.05,0.05,0,0,0,0,0,1.41,0.4,0.9,0.4,0.1,0.6,0.65,92.3,0.05,0.9,0.45,0.45,0.8,2.21,3.47,0.1,59.8,8.49,33.6,24.5,2.06,0.45,0.4,0.1,25,0.1,25,36.7,151.5,83.4,0.25,0.2,0,0.4,0.05,41.8,0.4,0.15,0,0,0.35,1.86,0,0.2,0,0,0,4.82,1.66,1.21,57.9,0
55,25,21,2,0.9,0.29,31.6,0.11,0.33,14.5,0,0,0,89.2,1000.1,355.2,22.2,94.9,28.8,93.2,3.81,6.43,59.3,0,0.05,4.67,0.1,0,4.1,62,59.4,2.52,1.76,0,0.38,0.1,0.1,0,0,0,0,0.05,0.38,0.67,0.52,0,0,0.1,0,0.05,0,0,0,0,0,0,0,1.43,1,0.86,0.43,0.14,0.48,0.67,71.4,0.19,1.38,0.81,0.57,0.86,2.29,3.67,0.1,72.5,8.57,29.6,38,5.19,1.57,0.05,0,0,0,0,44,225.6,141.1,0.52,1,0.05,0.52,0.14,49.5,0.38,0.19,0,0,0.62,1.19,0,0.1,0,0.05,0,5.19,2.19,2.29,48.9,0.0952380952380952
12,26,8.9,0,0.45,0.11,25,0,0,13,0,0,0,77.9,644.5,236.5,22.9,87.9,16.7,78.8,2.13,4.94,43.2,0.11,1.24,4.16,0.79,0.34,3.48,55.5,47.8,7.53,0.45,0.22,0.22,3.15,6.85,0.22,0,0.11,0,0.22,1.35,2.36,1.91,0.34,0,0,0,0.11,0.34,0.34,0,0,0,0,0,1.24,0.56,0.56,0.67,0,0.9,1.35,66.7,0.45,1.24,0.45,0.79,1.35,2.58,1.46,0,64.4,2.7,17.2,27.9,20.1,2.36,1.46,0.56,38.5,0.9,61.5,34.5,179.4,110.8,2.25,1.8,0.34,1.35,0.79,39.1,5.84,0.45,0.11,0,1.24,0.56,0.79,3.15,0,0,0,5.17,1.12,1.12,50,0
20,30,4.3,0,0.23,0,0,0,0,5.7,0,0,0,87.8,969.5,276.7,17.7,96.2,24.4,88.2,6.74,9.53,70.7,0,0.23,4.42,0,0,2.33,57,56.3,0.7,0.7,0,0.7,0,0,0,0,0,0,0,0.23,0.47,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.7,0.7,0,0.23,0.7,0.93,75,0.23,3.02,1.86,1.16,1.63,2.56,4.88,0,69.5,7.91,34.7,30.9,3.95,0.93,0.23,0,0,0.23,100,38.8,214.2,133.3,0.7,0.23,0,0,0,46.5,0.47,0.7,0,0,0.7,0.47,0,0,0,0,0,5.35,2.09,1.86,52.9,0
38,24,4.2,0,0.71,0.24,33.3,0,0,9.6,0,0,0,85.9,961.7,403.1,21.7,88.3,29.5,89.2,3.1,5,61.9,0,0,2.38,0.24,0,2.86,64,62.6,1.43,1.19,0,0,0,0.24,0,0,0,0,0,0.71,0.95,0.71,0,0,0.24,0,0,0,0,0,0,0,0,0,2.86,1.67,2.14,0.71,0,0.95,1.9,50,0.95,0.48,0.24,0.24,2.14,5,5,0.24,78.1,8.33,43.1,32.9,2.62,1.19,0.48,0.24,50,0,0,43.8,214.3,110.7,0.71,0.48,0,0.95,0,48.3,0.48,0,0,0,1.19,0.71,0.24,0,0,0,0.24,9.29,2.86,1.67,63.2,0
15,25,12.6,0,0.32,0,0,0,0,8.6,0,0,0,89.5,1197.6,379.4,16.3,95.3,33.3,94.4,7.62,10.8,70.6,0,0.24,4.21,0.16,0,4.13,64.2,61.7,2.46,1.98,0,0.71,0,0.48,0,0,0,0,0.08,0.32,1.03,0.87,0,0.08,0,0,0.08,0.08,0.08,0,0,0,0,0,1.67,0.87,0.71,0.63,0.32,0.48,0.79,60,0.32,1.83,0.87,0.95,1.35,3.02,2.06,0.08,72.8,5.4,29,41.4,2.86,0.56,0.32,0.16,50,0.08,25,46.3,287.4,179.9,1.11,0.79,0,0.4,0.56,48.9,0.08,0.56,0.08,0.08,1.51,0.48,0,0,0,0,0,7.22,1.9,0.71,72.7,0
